name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Aaron Gordon","Orlando Magic",2016-10-26,2016,3064290,1610612753,400899378,1,10,32,1,"Cutting Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Victor Oladipo","Oklahoma City Thunder",2016-10-28,2016,2527963,1610612760,400899455,1,5,10,1,"Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Wilson Chandler","Denver Nuggets",2016-10-26,2016,3194,1610612743,400899388,4,5,18,1,"Cutting Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Spencer Hawes","Charlotte Hornets",2016-10-26,2016,3211,1610612766,400899384,1,3,22,1,"Cutting Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.00,,0.00,0.00
"Cody Zeller","Charlotte Hornets",2016-10-29,2016,2579258,1610612766,400899477,3,8,17,1,"Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Serge Ibaka","Orlando Magic",2016-10-29,2016,3439,1610612753,400899479,4,1,43,1,"Cutting Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2016-10-25,2016,3202,1610612744,400899377,2,2,03,1,"Cutting Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Andrew Wiggins","Minnesota Timberwolves",2016-10-26,2016,3059319,1610612750,400899386,1,10,23,1,"Cutting Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2016-10-30,2016,3468,1610612760,400899490,2,3,04,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2016-10-30,2016,6589,1610612744,400899486,1,1,58,1,"Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-10-28,2016,6474,1610612739,400899429,1,5,45,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-10-26,2016,2991282,1610612758,400899412,1,0,28,1,"Cutting Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Terrence Jones","New Orleans Pelicans",2016-10-26,2016,6597,1610612740,400899388,4,10,24,1,"Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"DeMarcus Cousins","Sacramento Kings",2016-10-27,2016,4258,1610612758,400899424,2,8,37,1,"Cutting Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Andrew Nicholson","Washington Wizards",2016-10-30,2016,6614,1610612764,400899489,1,5,15,1,"Cutting Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-10-31,2016,2991282,1610612758,400899494,3,0,32,0,"Cutting Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Alex Len","Phoenix Suns",2016-10-26,2016,2596107,1610612756,400899412,3,1,00,1,"Cutting Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Robin Lopez","Chicago Bulls",2016-10-27,2016,3447,1610612741,400899422,1,5,09,1,"Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Andre Drummond","Detroit Pistons",2016-10-26,2016,6585,1610612765,400899382,3,7,49,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Tyler Zeller","Boston Celtics",2016-10-29,2016,6631,1610612738,400899477,1,2,41,1,"Cutting Dunk Shot","2PT Field Goal",0,"Charlotte Hornets",0,1,0,0.00,,0.00,0.00
"Nik Stauskas","Philadelphia 76ers",2016-10-26,2016,2991042,1610612755,400899389,3,5,51,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Noah Vonleh","Portland Trail Blazers",2016-10-27,2016,3078284,1610612757,400899426,2,8,30,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Thabo Sefolosha","Atlanta Hawks",2016-10-27,2016,3028,1610612737,400899420,2,8,30,1,"Cutting Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-10-30,2016,4298,1610612747,400899490,3,9,51,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Jusuf Nurkic","Denver Nuggets",2016-10-26,2016,3102530,1610612743,400899388,2,8,09,1,"Cutting Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Tyson Chandler","Phoenix Suns",2016-10-30,2016,984,1610612756,400899486,2,3,31,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-10-28,2016,1966,1610612739,400899429,4,5,24,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Bojan Bogdanovic","Brooklyn Nets",2016-10-31,2016,3593,1610612751,400899493,4,10,26,1,"Cutting Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2016-10-28,2016,6583,1610612740,400899459,2,0,55,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-10-28,2016,6474,1610612739,400899429,3,6,23,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Clint Capela","Houston Rockets",2016-10-26,2016,3102529,1610612745,400899415,4,8,52,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Rudy Gay","Sacramento Kings",2016-10-29,2016,3005,1610612758,400899484,3,7,56,1,"Cutting Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Rudy Gay","Sacramento Kings",2016-10-29,2016,3005,1610612758,400899484,2,5,15,1,"Cutting Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-30,2016,2991235,1610612760,400899490,1,11,11,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Jeremy Lamb","Charlotte Hornets",2016-10-29,2016,6603,1610612766,400899477,2,11,14,1,"Cutting Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
